Year,Movie,Directed By,Score (%),Poster,Decade,score_range
1999,American Beauty,Sam Mendes,87,https://resizing.flixster.com/OU0l6nYZ9gHV8KZKH36ZuxRow_M=/180x240/v1.bTsxMjk2MDAxOTtqOzE4NzU0OzIwNDg7MTM5ODsxODY0,1990,81 to 100
1941,How Green Was My Valley,John Ford,89,https://resizing.flixster.com/TGL6_3FxXeflW1zEBn0z9HDMYN4=/180x240/v1.bTsxMTI5NDY0NDtqOzE4NzY0OzIwNDg7MTIwMDsxNjAw,1940,81 to 100
1927,Wings,William Wellman,93,https://resizing.flixster.com/uP-BSNNt1q1BXGVs8Bd5HJAjukU=/180x240/v1.bTsxMTI5MjY3ODtqOzE4Nzc4OzIwNDg7MTUzNjsyMDQ4,1920,81 to 100
1942,Mrs. Miniver,William Wyler,94,https://resizing.flixster.com/aP6fEzzMzpkIAw2e9rkr10Zfk7Q=/180x270/v1.bTsxMTE2ODEwOTtqOzE4NzY4OzIwNDg7ODAwOzEyMDA,1940,81 to 100
1969,Midnight Cowboy,John Schlesinger,88,https://resizing.flixster.com/orKfclv79MUjynKDveqzzvCgd9M=/180x240/v1.bTsxMTM3MjM3NztqOzE4NzgzOzIwNDg7MTIwMDsxNjAw,1960,81 to 100
2004,Million Dollar Baby,Clint Eastwood,91,https://resizing.flixster.com/H8jYP1VA0WZCdwUUzTjePoW_Ps8=/180x270/v1.bTsxMTE2ODEwNjtqOzE4NzY1OzIwNDg7ODAwOzEyMDA,2000,81 to 100
1970,Patton,Franklin J. Schaffner,94,https://resizing.flixster.com/6ud_uoFIXNdaBX3wnHGN8M9y-Gs=/180x240/v1.bTsxMTIwODI1MTtqOzE4NzcwOzIwNDg7MTM0NzsxNzk2,1970,81 to 100
1998,Shakespeare in Love,John Madden (II),92,https://resizing.flixster.com/3UBWyGCTxrLlX0ljI98JUNMT44E=/180x270/v1.bTsxMTE3NjE5NDtqOzE4Nzk4OzIwNDg7ODAwOzEyMDA,1990,81 to 100
1973,The Sting,George Roy Hill,94,https://resizing.flixster.com/E894y7vsUNaFyqUiP0iv70YWCv0=/180x270/v1.bTsxMTE3MTYwMjtqOzE4Nzk2OzIwNDg7ODAwOzEyMDA,1970,81 to 100
1964,My Fair Lady,George Cukor,95,https://resizing.flixster.com/VS9d4QDpZeKtiKQVUXsdNTSv49A=/180x240/v1.bTsxMTIwNzEzNTtqOzE4Nzc5OzIwNDg7MTEzNDsxNTEy,1960,81 to 100
1961,West Side Story,"Robert Wise, Jerome Robbins",92,https://resizing.flixster.com/LCxO1q9T4TTXOG4mMBRFyv3Ft6M=/180x240/v1.bTsxMTIxMjgyODtqOzE4ODAyOzIwNDg7MTM4OTsxODUy,1960,81 to 100
1948,Hamlet,Laurence Olivier,95,https://resizing.flixster.com/TlK-Qroc7uL7YGtLCITfdiwaD88=/180x240/v1.bTsxMTIxMTY1OTtqOzE4ODAzOzIwNDg7MTUzNjsyMDQ4,1940,81 to 100
1953,From Here to Eternity,Fred Zinnemann,92,https://resizing.flixster.com/kYIZth9XWqqQLjYQAivbYezMpi4=/180x270/v1.bTsxMTE3Mzg1NTtqOzE4Nzk5OzIwNDg7ODAwOzEyMDA,1950,81 to 100
1967,In the Heat of the Night,Norman Jewison,95,https://resizing.flixster.com/vw9_w9uHkuvBh5EwWnUrYFGKJHA=/180x240/v1.bTsxMTIwNDMxOTtqOzE4Nzk4OzIwNDg7MTUzNjsyMDQ4,1960,81 to 100
2006,The Departed,Martin Scorsese,91,https://resizing.flixster.com/qpEJYXhRPuMnn6w3W-HepGwZJac=/180x270/v1.bTsxMTE2NjcyMTtqOzE4Nzc1OzIwNDg7ODAwOzEyMDA,2000,81 to 100
1976,Rocky,John G. Avildsen,94,https://resizing.flixster.com/FKUIVH1AmFE8hLDjn8Yb131a_JM=/180x240/v1.bTsxMTYxNDM4NTtqOzE4Nzg0OzIwNDg7NzE0Ozk1Mg,1970,81 to 100
1978,The Deer Hunter,Michael Cimino,92,https://resizing.flixster.com/9M1CoBFu5xuNax0CyEUqO3Hwfbo=/180x240/v1.bTsxMTM3MjMyODtqOzE4Nzc5OzIwNDg7MTIwMDsxNjAw,1970,81 to 100
1949,All the King's Men,Robert Rossen,95,https://resizing.flixster.com/BQiZtVvOZoUltL3gBrvx-ErJTzQ=/180x240/v1.bTsxMTIxMTA5MjtqOzE4Nzc2OzIwNDg7MjcwMDszNjAw,1940,81 to 100
2003,The Lord of the Rings: The Return of the King,Peter Jackson,93,https://resizing.flixster.com/qCx97a6wBT7Z1n2JO1FwAmvhQFM=/180x270/v1.bTsxMTE2NjQyMztqOzE4NzkyOzIwNDg7ODAwOzEyMDA,2000,81 to 100
1984,Amadeus,Milos Forman,93,https://resizing.flixster.com/OQdVZltcxDo2Yn4y3lgJFWEGd90=/180x270/v1.bTsxMTE2ODAyNztqOzE4Nzc2OzIwNDg7ODAwOzEyMDA,1980,81 to 100
1997,Titanic,James Cameron,89,https://resizing.flixster.com/h1A_QTk54KlnI4t862rYRCy1RS4=/180x268/v1.bTsxMTE2NjMyMDtqOzE4Nzc5OzIwNDg7ODAwOzExOTM,1990,81 to 100
1935,Mutiny on the Bounty,Frank Lloyd,93,https://resizing.flixster.com/Z36y13CmI4Ev18RjXafHHDruid4=/180x270/v1.bTsxMTE2ODExMDtqOzE4NzY5OzIwNDg7ODAwOzEyMDA,1930,81 to 100
1960,The Apartment,Billy Wilder,93,https://resizing.flixster.com/KwAAFwyk_Lbb370U3F3t8gNH_K8=/180x240/v1.bTsxMTYxNjM5NjtqOzE4NzcwOzIwNDg7NzY4OzEwMjQ,1960,81 to 100
2008,Slumdog Millionaire,Danny Boyle,91,https://resizing.flixster.com/N4-cxIBVVhtorgETX8bgHHg-gPA=/180x240/v1.bTsxMTIzMzUzMztqOzE4NzYzOzIwNDg7MTUzNjsyMDQ4,2000,81 to 100
1938,You Can't Take It With You,Frank Capra,93,https://resizing.flixster.com/rg-1Drsgms8GTQxjBAesDGjONBI=/180x240/v1.bTsxMTI5MjY1MDtqOzE4Nzk1OzIwNDg7MjI1MDszMDAw,1930,81 to 100
1945,The Lost Weekend,Billy Wilder,98,https://resizing.flixster.com/Ldq9NqMBcXR9DI9bPDaEyLY0r6E=/180x240/v1.bTsxMTIxMTU1MztqOzE4Nzg3OzIwNDg7MTEyNTsxNTAw,1940,81 to 100
1975,One Flew Over the Cuckoo's Nest,Milos Forman,94,https://resizing.flixster.com/oCVhLLon1sLIaAdoMlEkufEHCW8=/180x270/v1.bTsxMTE2ODEwNztqOzE4NzY2OzIwNDg7ODAwOzEyMDA,1970,81 to 100
2007,No Country for Old Men,"Joel Coen, Ethan Coen",93,https://resizing.flixster.com/aqR762264WQl6k1Ee_5D-QSgWPw=/180x270/v1.bTsxMTE3NjE2ODtqOzE4NzcyOzIwNDg7ODAwOzEyMDA,2000,81 to 100
1927,Sunrise: A Song of Two Humans,F.W. Murnau,98,https://resizing.flixster.com/t6CKDYuw3O2o2rfukgKmaIc3dgg=/180x240/v1.bTsxMTI5NTAwOTtqOzE4NzY5OzIwNDg7MTMzMjsxNzc2,1920,81 to 100
2010,The King's Speech,Tom Hooper,94,https://resizing.flixster.com/qiJSyEHw_x1vp0tqnmIB41Cex0k=/180x263/v1.bTsxMTE1NDQ3MztqOzE4NzY3OzIwNDg7MTk1MDsyODUw,2010,81 to 100
1957,The Bridge on the River Kwai,David Lean,95,https://resizing.flixster.com/A_Y5PsD71yoNbz3ubRKO-KhIJ5w=/180x240/v1.bTsxMTIyODY1MztqOzE4Nzg3OzIwNDg7MjI1MDszMDAw,1950,81 to 100
1955,Marty,Delbert Mann,98,https://resizing.flixster.com/Im_RJRp6nKs7hOJPb29ydXsSfrQ=/180x240/v1.bTsxMTIxMDk0NztqOzE4NzY2OzIwNDg7MTIwMDsxNjAw,1950,81 to 100
1991,The Silence of the Lambs,Jonathan Demme,96,https://resizing.flixster.com/nrQUfE8s-qyob9PE4xZ_CN9yKow=/180x240/v1.bTsxMTI5MjIyMDtqOzE4NzcwOzIwNDg7MTQ4NTsxOTgw,1990,81 to 100
1992,Unforgiven,Clint Eastwood,96,https://resizing.flixster.com/dMm5g9K7UTtssuXerQoKLf3h0rU=/180x270/v1.bTsxMTE2ODAzNTtqOzE4Nzg0OzIwNDg7ODAwOzEyMDA,1990,81 to 100
1971,The French Connection,William Friedkin,98,https://resizing.flixster.com/os8MYqDCWhQGBpPgHYn3yzWinME=/180x240/v1.bTsxMTI5MTI5NTtqOzE4NzkwOzIwNDg7MTIwMDsxNjAw,1970,81 to 100
1993,Schindler's List,Steven Spielberg,97,https://resizing.flixster.com/sS3Dh8fQ5UYmWUcPEiL4aHTPbaA=/180x240/v1.bTsxMTIwODUwODtqOzE4ODAyOzIwNDg7ODUyOzExMzY,1990,81 to 100
2011,The Artist,Michel Hazanavicius,95,https://resizing.flixster.com/BthKjgyNAo9fXuxk8BNn7pQkX9M=/180x270/v1.bTsxMTE2NTY2NztqOzE4ODAxOzIwNDg7ODAwOzEyMDA,2010,81 to 100
1946,The Best Years of Our Lives,William Wyler,97,https://resizing.flixster.com/_lUauyexe6xiLEdcbJPbqxcOEsE=/180x240/v1.bTsxMTIxMzM2NTtqOzE4Nzk5OzIwNDg7MTUzNjsyMDQ4,1940,81 to 100
2014,Birdman,Alejandro González Iñárritu,91,https://resizing.flixster.com/ANVG6LZJ0n4rGhVpRgM5twgZY68=/180x270/v1.bTsxMTE4OTkxNDtqOzE4NzkzOzIwNDg7ODAwOzEyMDA,2010,81 to 100
1939,Gone With the Wind,Victor Fleming,91,https://resizing.flixster.com/0uD78lla3B5aGfrlM2lJfMyKMbo=/180x270/v1.bTsxMTE2ODA5MjtqOzE4Nzk2OzIwNDg7ODAwOzEyMDA,1930,81 to 100
1977,Annie Hall,Woody Allen,98,https://resizing.flixster.com/rZx_M2n2Bsvvl-KYWAgB1mD50Uo=/180x240/v1.bTsxMTIwNDg5ODtqOzE4NzkyOzIwNDg7MTM4MDsxODQw,1970,81 to 100
1930,All Quiet on the Western Front,Lewis Milestone,98,https://resizing.flixster.com/xEJ681CKVGzfxjlijlZITsjQYrY=/180x240/v1.bTsxMTI5MjYzODtqOzE4NzgzOzIwNDg7OTU3OzEyNzY,1930,81 to 100
1962,Lawrence of Arabia,David Lean,97,https://resizing.flixster.com/66hoct5VLvJTz7vQ6BV3MHiiFlk=/180x270/v1.bTsxMTE2NzUwMDtqOzE4Nzg5OzIwNDg7ODAwOzEyMDA,1960,81 to 100
2009,The Hurt Locker,Kathryn Bigelow,97,https://resizing.flixster.com/vsqRju7p0LYn75KK-Fa-5_D82T8=/180x270/v1.bTsxMTE3NTc3MztqOzE4NzgyOzIwNDg7ODAwOzEyMDA,2000,81 to 100
1951,An American in Paris,Vincente Minnelli,96,https://resizing.flixster.com/xRSGan2B1Ooexxgc2xIHDd5wapM=/180x270/v1.bTsxMTE2ODAyMTtqOzE4NzcwOzIwNDg7ODAwOzEyMDA,1950,81 to 100
1954,On the Waterfront,Elia Kazan,99,https://resizing.flixster.com/QzTulvjHMErSiYCK2Y6d-mvXYHE=/180x240/v1.bTsxMTIxMTQyNDtqOzE4NzkzOzIwNDg7MTgwMDsyNDAw,1950,81 to 100
1974,"The Godfather, Part II",Francis Ford Coppola,98,https://resizing.flixster.com/wI27wxYohW6SjcBUp-IUANMYacA=/180x270/v1.bTsxMTE2OTc4MztqOzE4Nzc3OzIwNDg7ODAwOzEyMDA,1970,81 to 100
1940,Rebecca,Alfred Hitchcock,100,https://resizing.flixster.com/JM6waIaMcoIZbM9-DNnxqpeAK8s=/180x240/v1.bTsxMTI5MjYwNTtqOzE4Nzk1OzIwNDg7OTAwOzEyMDA,1940,81 to 100
2013,12 Years a Slave,Steve McQueen (III),95,https://resizing.flixster.com/xfUplDH43X_ArK42HeLJM9doAPs=/180x270/v1.bTsxMTE3NjQ5NTtqOzE4Nzg0OzIwNDg7ODAwOzEyMDA,2010,81 to 100
2012,Argo,Ben Affleck,96,https://resizing.flixster.com/hk9F37KdrjdloLJcbTBDSmWxqSY=/180x270/v1.bTsxMTE2OTE4MTtqOzE4NzYwOzIwNDg7ODAwOzEyMDA,2010,81 to 100
1950,All About Eve,Joseph L. Mankiewicz,99,https://resizing.flixster.com/H8vGT8N6hjhPeZsCuQohzdSXmTg=/180x240/v1.bTsxMTIxMTMxNztqOzE4Nzc2OzIwNDg7MTEyNTsxNTAw,1950,81 to 100
1972,The Godfather,Francis Ford Coppola,98,https://resizing.flixster.com/8aHFEcW4lgA0WClkSD00hWCi1Ps=/180x270/v1.bTsxMTE3MTYxMjtqOzE4NzYxOzIwNDg7ODAwOzEyMDA,1970,81 to 100
2015,Spotlight,,97,https://resizing.flixster.com/bXMyxf1-1rXQk0k9Xqc0ksQBLSU=/180x266/v1.bTsxMTIwMTU1ODtqOzE4NzgyOzIwNDg7MTg5MzsyODAw,2010,81 to 100
2017,The Shape of Water,Guillermo del Toro,92,https://resizing.flixster.com/68aSH9cjFPBUBmiK1K6fbfOJlrM=/180x267/v1.bTsxMjU2MTA5MDtqOzE4NzQ1OzIwNDg7MTM4MjsyMDQ4,2010,81 to 100
1934,It Happened One Night,Frank Capra,98,https://resizing.flixster.com/i3SXdqUw_X3Dul0LIkxeZgm7B6c=/180x240/v1.bTsxMTIwNTQ2MztqOzE4NzcyOzIwNDg7MjcwMDszNjAw,1930,81 to 100
2016,Moonlight,Barry Jenkins (III),98,https://resizing.flixster.com/CkSxylrRYOON30AczRXk9Os9nfU=/180x261/v1.bTsxMjIyMzcyNTtqOzE4NzQxOzIwNDg7MjcwMDszOTEw,2010,81 to 100
1942,Casablanca,Michael Curtiz,99,https://resizing.flixster.com/9VUsgbanSu1I1LQBCM7CGut-Ww8=/180x270/v1.bTsxMTE2ODEwMTtqOzE4NzYwOzIwNDg7ODAwOzEyMDA,1940,81 to 100
2019,Parasite,Bong Joon Ho,98,https://resizing.flixster.com/kX0GoMIhL3t7EseGeme-Q6DHbPU=/180x267/v1.bTsxMzIyNDEwMjtqOzE4NzgwOzIwNDg7MjQwMDszNTU2,2010,81 to 100
